,rating,percentage,totals,imdb_id,title
9,1.0,1.7,13339.0,tt4154756,Avengers: Infinity War
1,9.0,18.7,171381.0,tt0371746,Iron Man
2,8.0,36.2,332693.0,tt0371746,Iron Man
3,7.0,20.7,189741.0,tt0371746,Iron Man
4,6.0,6.2,57239.0,tt0371746,Iron Man
5,5.0,2.0,18248.0,tt0371746,Iron Man
6,4.0,0.8,6896.0,tt0371746,Iron Man
7,3.0,0.4,3647.0,tt0371746,Iron Man
8,2.0,0.3,2364.0,tt0371746,Iron Man
9,1.0,0.8,6933.0,tt0371746,Iron Man
1,9.0,30.6,534163.0,tt0109830,Forrest Gump
2,8.0,20.6,359560.0,tt0109830,Forrest Gump
3,7.0,8.3,145762.0,tt0109830,Forrest Gump
4,6.0,2.8,49521.0,tt0109830,Forrest Gump
5,5.0,1.3,22115.0,tt0109830,Forrest Gump
6,4.0,0.7,11398.0,tt0109830,Forrest Gump
7,3.0,0.4,7503.0,tt0109830,Forrest Gump
8,2.0,0.3,5819.0,tt0109830,Forrest Gump
9,1.0,0.7,11873.0,tt0109830,Forrest Gump
1,9.0,30.0,487742.0,tt0133093,The Matrix
2,8.0,22.2,361166.0,tt0133093,The Matrix
3,7.0,9.8,159755.0,tt0133093,The Matrix
4,6.0,3.4,55188.0,tt0133093,The Matrix
5,5.0,1.5,24697.0,tt0133093,The Matrix
6,4.0,0.8,12284.0,tt0133093,The Matrix
7,3.0,0.5,8433.0,tt0133093,The Matrix
8,2.0,0.4,6404.0,tt0133093,The Matrix
9,1.0,1.0,15839.0,tt0133093,The Matrix
1,9.0,16.1,164784.0,tt0120338,Titanic
2,8.0,24.1,245791.0,tt0120338,Titanic
3,7.0,18.6,189921.0,tt0120338,Titanic
4,6.0,8.1,82866.0,tt0120338,Titanic
5,5.0,3.8,39086.0,tt0120338,Titanic
6,4.0,1.8,18699.0,tt0120338,Titanic
7,3.0,1.2,12402.0,tt0120338,Titanic
8,2.0,0.9,8827.0,tt0120338,Titanic
9,1.0,2.4,24638.0,tt0120338,Titanic
1,9.0,27.7,446972.0,tt0120737,The Lord of the Rings: The Fellowship of the Ring
2,8.0,19.0,306265.0,tt0120737,The Lord of the Rings: The Fellowship of the Ring
3,7.0,8.0,128749.0,tt0120737,The Lord of the Rings: The Fellowship of the Ring
4,6.0,2.8,45291.0,tt0120737,The Lord of the Rings: The Fellowship of the Ring
5,5.0,1.4,22092.0,tt0120737,The Lord of the Rings: The Fellowship of the Ring
6,4.0,0.7,10704.0,tt0120737,The Lord of the Rings: The Fellowship of the Ring
7,3.0,0.5,8067.0,tt0120737,The Lord of the Rings: The Fellowship of the Ring
8,2.0,0.4,6781.0,tt0120737,The Lord of the Rings: The Fellowship of the Ring
9,1.0,1.7,26682.0,tt0120737,The Lord of the Rings: The Fellowship of the Ring
1,9.0,11.8,97670.0,tt1392170,The Hunger Games
2,8.0,25.0,207094.0,tt1392170,The Hunger Games
3,7.0,26.8,222343.0,tt1392170,The Hunger Games
4,6.0,12.4,102713.0,tt1392170,The Hunger Games
5,5.0,5.1,42003.0,tt1392170,The Hunger Games
6,4.0,2.2,18346.0,tt1392170,The Hunger Games
7,3.0,1.2,9635.0,tt1392170,The Hunger Games
8,2.0,0.7,6071.0,tt1392170,The Hunger Games
9,1.0,1.7,13738.0,tt1392170,The Hunger Games
